Title,Date of Reviews,Reviews,Star Rating
Rikendro Arefta,17-Nov-23,"Pertama kali belanja di aplikasi ini dengan pesanan gendongan bayi merk disney seharga + ongkir 119k (COD) pemesanan tgl 12 melalui toko NOVARIASHOP yang status pemesanan pada tanggal 13 ""sedang di kemas"" ( penjual telah mengatur pengiriman menunggu pesanan diserahkan ke pihak jasa pengirim ) dan pengiriman paling lambat tgl 18 namun sampai hari ini tgl 17 malam status itu belum berubah padahal tgl 17 siang barang sudah sampai dengan harga berubah jadi 121k dan barang pun gendongan biasa yg 35k.",Diberi rating 1 bintang dari 5 bintang
Fujiwara Asuka,12-Nov-23,"Ga bisa beli barang dari luar negeri lagi. Ga bisa sama sekali, padahal dulu masih bisa. Iya paham sih demi UMKM, tapi kan ga semua toko punya barang yang kita mau. Mau beli keychain aja udh di blokir, padahal bagusan design keychain orang luar dari pada indo. Ayolah shopee jangan kek gini, kalaupun ga bisa beli produk seperti baju ataupun kosmetik, at least biarin lah kita beli produk stationery dari luar negeri. Jangan semuanya di batasi gini. Jadi pingin pindah lapak jadinya",Diberi rating 1 bintang dari 5 bintang
Faisal Ryan Alamsyah,16-Nov-23,"sampai sekarang belum ada perbaikan untuk metode pembayaran melalui Shopeepay, sehingga saat ingin melakukan pembayaran selalu di permasalahan soal jaringan,padahal jaringan saya sangat bagus dan tidak ada ganguan sama sekali.",Diberi rating 1 bintang dari 5 bintang
kubu laundry,11-Nov-23,"Ekpidisi anda SPX kalau memang nga ada yg bisa handle pengiriman jakarta bali dengan benar, udah tutup aja jangan dipake, ganti dengan vendor ekspedisi lain yg lebih mampu.. Saya setiap pesan ekpedisinya SPX pasti nga bener, telat,nga diantar lah... Kasihan seller"" yg jualan di platform anda kalau penanganan pengirimannya kaya bgini, bisa pada kabur customer""nya",Diberi rating 1 bintang dari 5 bintang
DILAH CHANRIAL,17-Nov-23,"JELEK! sekarang² shope cuma ngandelin flash sale, selain itu gak ada promo² lain! Voucher gratis ongkir udah gak ada, cuma pas hari² spesial aja! Terus, gak ada voucher², sepi!! Ya harapan buat belanja gak ada aja, saya kadang lebih suka belanja di supermarket, karna gak jauh beda, voucher & free ongkirnya, gak ada :(",Diberi rating 1 bintang dari 5 bintang
Kiaaa L,23-Nov-23,"Pengiriman shoppee hemat lama banget tidak sesuai estimasi, dan untuk kejelasan pengiriman di apk berubah-ubah ngak jelas. Awalnya ke alamat tujuan 2 hari kemudian pengiriman berubah jadi ke kota tujuan kan ngawur. Minta pelayanan ke cs malah percuma katanya di prioritaskan tapi barangnya lama banget 2 hari masa kerja. Tlfn cs ngabisin pulsa aja udah deh mau pindah tempat belanja udah paling bener toko sebelah tapi udah di tutup",Diberi rating 1 bintang dari 5 bintang
Kiki Rosita,9-Nov-23,"Ini shopee keterlaluan banget, sering belanja tiap bulan tapi mengajukan paylater gagal terus setiap bulan. Data bagus masa iya mengajukan aja selalu gagal padahal data sudah isi dengan benar. Parah banget aplikasi shopee giliran yg jarang belanja mengajukan bisa giliran saya sering belanja mengajukan aja susah selalu gagal.",Diberi rating 1 bintang dari 5 bintang
Apep Pro,19-Nov-23,Aplikasi lambat. Seller bagus respon... Pengiriman nya SPX sangat lambat dan paket sering bolak balik tidak sampai tepat waktu komplen susah.. Keluhan tidak di tanggapi,Diberi rating 1 bintang dari 5 bintang
MORO SENENG,1-Nov-23,"Mohon maaf saya keberatan sekali tidak bisa ubah expedisi dengan mudah, tidak seperti market lain yg sangat mudah mengatur expeidisnya, karna SPX di tempat saya sangat jauh drop off bisa kurang lebih 7KM . Mohon untuk ke depan nya jangan memprioritaskan SPX tdk semua seller dekat untuk drop off.",Diberi rating 1 bintang dari 5 bintang
Rahmat Putra,25-Nov-23,"Shopee habis di update lemot banget. Padahal jaringan oke, chace udah bersih, HP juga baru, udah di update. Tapi buat nyari barang lemot banget, reload terus ngga muncul produknya. Jadi blank space. Dan Shopee balas harus clear Chace? Chace saya sudah bersih, HP baru, udah update versi. Tolonglah yg jawab jangan robot biar sama sama nyaman pakai aplikasinya",Diberi rating 1 bintang dari 5 bintang
Angga Be,1-Nov-23,Sebelumnya saya sudah banyak sekali kendala dengan Aplikasi yang satu ini... Saya dengan rasa hormat ...sebelum SHOPPE benar-benar bangkrut oleh customer .harusnya sistem di benahi ..Hanya orang-orang dungu yang tidak mau berubah ....sekarang terjadi lagi Saya merasa dirugikan hanya karena salah klik PESANAN tidak bisa di batalkan ...So apa gunanya ada Opsi pengembalian dana ...Karena banyak para penjual Nakal .memanfaatkan itu sehingga kita mau merubah ukuran sepatu saja tidak bisa . .,Diberi rating 1 bintang dari 5 bintang
Novyar Suci,22-Nov-23,"Setiap nonton video kan ada kolom komentar udah di klik gak muncul muncul komentar orang lain, PERBAIKI! terus,kan ada video produk, yang barangnya udah di keranjang tapi pas di klik gak muncul juga barangnya PERBAIKI! Biaya ini itu aja di perbesar, pelayanan makin buruk",Diberi rating 1 bintang dari 5 bintang
Dann Prabowo.17,23-Nov-23,"Tolong hilangkan iklan pop up yg tiba-tiba muncul di atas layar. Waktu gak sengaja menekan iklan itu tiba-tiba langsung dialihkan ke shoppe. Sangat mengganggu. Gak usah berlebihan dalam ngasih iklan kalau emang butuh mau belanja juga pasti bakal belanja. Gak usah ngasih iklan pop up terus""an yang annoying dan akhirnya bikin kita pindah ke apk lain! Iklan yg mengganggu masih belum hilang.",Diberi rating 1 bintang dari 5 bintang
Gun Toro,19-Nov-23,Aplikasi aneh masa ada beberapa toko yang kalo belanja di satu tempat yang sama dengan 2 barang ongkir nya juga di kali dua padahal membeli nya juga di waktu yang sama. Ya masa barang yang cuma 1 aja onkirnya 60k yang beratnya ngak sampe setengah kg trus beli 2 ongkir juga dibkali 2 jadi 120k emang barang nya berat 1 ton apa Sembunyikan kutipan teks,Diberi rating 1 bintang dari 5 bintang
Bos Babalo,31 Oktober 2023,"Aplikasinya lemot, suka ngelag padahal sinyal juga bagus, ngebug pas scrol barang, tolong dong untuk server shopee segera di perbaiki. Di tambah sekarang Spaylater sama Spinjam saya gak bisa di gunakan, padahal tagihan saya sudah lunas semua.",Diberi rating 1 bintang dari 5 bintang
Harminto harminto,27-Nov-23,"Buruk sekali, aplikasi jadi lemot sekarang.. padahal pakai WiFi tapi tetep lemot.. kalau seandainya ada d suruh ngasih bintang 0 sampai 5, tak kasih bintang 0 artinya paling buruk sekali.. super lemot",Diberi rating 1 bintang dari 5 bintang
Ginanjar Nurcahyono,25-Nov-23,"Setelah diupdate koq aplikasinya semakin lemot, semakin susah buka shopee video. Apa manfaatnya update aplikasi, tp dampaknya tambah lemot??? Sinyal stabil full wifi, tp aplikasinya membaca tidak ada sinyal???",Diberi rating 1 bintang dari 5 bintang
Alviona Tri Ananda,23-Nov-23,"Jasa kirim spx shopee selalu berkendala, pesanan selalu ga nyampe ke saya. Tapi kalo pesanannya di antar ke agen shopee pasti nyampe giliran ke alamat rumah saya ga pernah nyampe. Padahal kalau emang ga tau alamatnya bisa chat. Kecewa sama shopee, padahal udah dari dulu apa-apa beli di shopee",Diberi rating 1 bintang dari 5 bintang
Rahma pricilia,22-Nov-23,"Makin kemari makin buruk , pengiriman lama padahal satu wilayah , satu kabupaten , sampai 4 hari Blm juga sampai pesanannya , pengiriman spx express sangat mengecewakan..biasanya kalau satu kota , 3hari paling lama , ini sudah 4hari , paket menginap terus digudang expedisi , ,,,,,,",Diberi rating 1 bintang dari 5 bintang
Heru Agustiawan,21-Nov-23,Tolong diperhatikan jasa pengiriman spx nya sudah di notif pesanan akan dikirimkan ke alamat penerima namun sudah kita stand by seharian gak ada datang..gagal cod karena pihak tidak di tempat..setelah besok tidak di lokasi ga ada yg nerima produk gagal.. Udah sering kayak gini sampai kapan sungguh mengecewakan..,Diberi rating 1 bintang dari 5 bintang
siti rahmawati,27-Nov-23,"Baru kali ini bener² kecewa banget, beli pulsa 50 rb lewat shopee ga masuk², dipinta pengembalian dana malah ditolak, bad banget!!!!!!!!!!!!!!!🤬🤬🤬🤬 kalo bukan karena tiktok shop tutup, gabakal belanja di shopee!!!!!!!!!!",Diberi rating 1 bintang dari 5 bintang
ragie firmansyah,19-Nov-23,"hallo kak saya top up shopepayy pakai pembayaran virtual Bca sudah 3 hari ini belum masuk ,padahal sudah masuk mutasi bank dan berhasil melakukan top up , tapi saldo gak ada masukk , baru kali ini saya ngalamin kaya gini padahal saya sering melakulan top up shopepay lewat pembayaran Bca",Diberi rating 1 bintang dari 5 bintang
Amin Lamik,6-Nov-23,"Shopee skrg semua di kasih biaya ini itu, biaya penanganannya gede pula. Tp klo soal pengiriman lama bgt. Saya pesen barang yg sama di toko yang sama di 2 e-commerce. Yg dtg dluan yg dari e commerce satunya.",Diberi rating 1 bintang dari 5 bintang
Siti Aisyah,6-Nov-23,Aplikasi lemot.. Gambar kurang jelas.. Bilangnya cod geratis ongkir tapi setelah di chekout ada ongkirnya.. Mana mahal pula ongkirnya.. Barang digambar tdk sesuai dengan yg asli.. Jelek2 bgt barangnya harga nya juga mahal2... Maless jadinya,Diberi rating 1 bintang dari 5 bintang
Ilham Nugraha,22-Nov-23,"Aduh ini shopee tolong dong kenapa loading terus,udah seminggu yang kayak gini terus,padahal sinyal bagus,udh bersihin cache,udh restart,masih aja pas mau check out loading,,mau belanja pun susah,giliran buat nonton video lancar jaya,kesel juga lama2",Diberi rating 1 bintang dari 5 bintang
SMD Dian,27-Nov-23,"Terlalu banyak game sehingga fitur utama jadi lelet seperti live dan shopeepay. Cek komentar pengguna lain, masukan dari shopee pasti selalu bilang kosongkan cache lah, update versi terbaru. Padahal udah semuanya. Emang space cuma buat apk shopee doang.",Diberi rating 1 bintang dari 5 bintang
Smart Frend,21-Nov-23,Apk belanja online terberat kapasitasnya auto ngabisin memori internal dan lemot banget...tidak mendukung buat kalangan menengah kebawah.. tolong di perbaiki lagi performanya,Diberi rating 1 bintang dari 5 bintang
Gan Kiz,22-Nov-23,Di list bagian 'Rekomendasi' ... VIDEO IKLAN tidak relevan dan banyak video yang tidak pantas. Adain cara pilihan reset/tidak tertarik gitu tanpa perlu membuka videonya terlebih dahulu dong min.,Diberi rating 1 bintang dari 5 bintang
Hasriati SH,24-Nov-23,"Nyesel tau ngeupdatenya lemot banget , kalau check out misalnya kan kok ngga ada di keterengan keranjangnya muncul?? Dan juga kenapa metode pembayarannya tidak bisa COD,padahal aku udah memilih barang lewat filter yang ada COD eh malah disuruh metode Seabank,makin ngga suka sama Shopee",Diberi rating 1 bintang dari 5 bintang
Rikka Mella,22-Nov-23,"Shopee sekarang ndak enak,, ndak seperti dulu lagi Mentang"" udh banyak pengguna nya trus seenak nya sendiri bikin kebijakan dan peraturan. Expedisi ndk bisa milih harus pake spx Akun dibatasi ndk jelas kesalahan apa tiba"" akun dibatasi Shopee sekarang Sangat sangat sangat tidak nyaman sekali !!!!",Diberi rating 1 bintang dari 5 bintang
najwanafisah,24-Nov-23,"apaan banget, masa vouchernya aja gak bisa digunain padahal udah di klaim kenapa sih shopee sekarang gini banget, diskon saya aja banyak tapi gak bisa digunakan, dan saat buka aplikasinya lemot banget! harus nunggu 30 detik baru gak lemot lagi, saya kasi bintang 5 kalau udah diperbaiki!!, perbaiki secepatnya!!!",Diberi rating 1 bintang dari 5 bintang
Dhani 6699,22-Nov-23,"Shope dari dulu emang gak pernah berubah, katanya suruh update, sampai yang terbaru pun nggak ada bedanya padahal wi-fi lancar paket data juga lancar tapi, Aplikasinya masih terlalu berat & lemot, apa lagi yang pake hp kentang +",Diberi rating 1 bintang dari 5 bintang
Nurulfitria Fitria,6-Nov-23,"Kenapa Shopee kok semakin hari semakin gk jelas.. Kita pesan apa yang dikirim apa, trus dengan total harga sama dengan lis yang di pesan maka yang datang kurang 1 produk, dan kenapa jg paylater nya smua nya gk bisa di gunakan padahal maslah pembayaran selalu tepat malah lebih cepat",Diberi rating 1 bintang dari 5 bintang
Kiki Kdw,5-Nov-23,Setelah di update aplikasi nya jadi gmgak bisa cek out yg keluar tulisan halaman bermasalah padahal sinyal bagus .tapi di buka kembali ke halaman utama terus jadi jelek gak jelas,Diberi rating 1 bintang dari 5 bintang
muthmainnah nurul ummah,27-Nov-23,"Jadi ngga percaya lagi beli kuota pake shoppe 🥲 kuota ngga dapet, uang ngga balik, dan bilangnya pesanan selesai.",Diberi rating 1 bintang dari 5 bintang
No Name,22-Nov-23,"Pas dibuka lemot, gambar barang tak muncul, kayanya kebanyakan fiturnya deh, ya walaupun gak sering belanja online, tapi kalau sekalinya belanja pas dibuka aplikasinya loading terus, ya kesel juga. perasaan tahun kemaren gak separah ini loadingnya, nyesel banget update aplikasi. berharap shopee ada pengaturan yang bisa membuang beberapa fitur aplikasi didalamnya, kaya shopee video, atau beberapa gamesnya",Diberi rating 1 bintang dari 5 bintang
Wisnu Ramadan,14-Nov-23,"Iklan mulu pas buka game,ngga perlu di iklanin juga gwa pake ni apk,jadi tolong ngga usah di iklan""in lagi,dari pada keluar uang buat nyuruh artis jadi model iklan mending ngga usah,apk mu udah merakyat ,jadi tolong ngga usah di iklan""in lagi",Diberi rating 1 bintang dari 5 bintang
Nadine latifatul Aini,22-Nov-23,"hmmm makin kesini makin kesana, total kurang dari shopeepay yg kita punya, tapi tertera tulisan saldo shopeepay kurang. apa maksudnya coba? wkwk aneh. kalau mau kayak gtu mending terterain total keseluruhan sebelum di kurangi shopeepay. kalau kyk gtu ribet hrs topup 2x belum ada adminnya. pertimbangkan",Diberi rating 1 bintang dari 5 bintang
Siti Juleha,17-Nov-23,"Maaf ini kenapa lagi ""produk yang anda cari tidak tersedia"" padahal sudah buka di hp android tak bisa di letop juga tak tempat favorit nya apa pun yg dri luar negeri tak bisa padahal barang di sana bagus dan ke ORI nya, jika kebijakan tpi saya pengen shopee yg dulu :(",Diberi rating 1 bintang dari 5 bintang
Rohmah Yanti,9-Nov-23,"Lemoot melebihi sifut, masa mau cek out muternya setengah jam padahal sebelum nya udah di kosongkan ruangan dulu di hapus data cache,jaringan lagi bagus, buka app lain nya juga bisa² aja, bagus² aja cepet, cuma app shope aja yang lelet muter teruss ah mending pindah ke app sebelah lebih cepet tapi sayang gak ada gratis ongkir nya tapi gak papah yang penting satset, shope harus di perbaiki kalo kayak gini terus mending boikot aja hapus aja lah gak guna",Diberi rating 1 bintang dari 5 bintang
Riantini Astari,16-Nov-23,"Sekarang check out di shopee lebih banyak biaya🥲 ada biaya layanan 1000, biaya penanganan kurang lebih 3000 itu terlalu tinggi. Cukup membuat tidak puas Jasa pengiriman sangat lambat, dl wkt pakai jnt jne sangat cpat, sekarang semingguan baru sampai. Saya sangat kecewa pakai shopee akhir2 ini",Diberi rating 1 bintang dari 5 bintang
Mommy Zee,12-Nov-23,"Apa apaan... potongan ongkir makin hari makin dikit aja. Minimal belanja pun makin banyak. Biasanya belanja 30k dapat potongan ongkir 20k. Sekarang gak, minimal belanja 50k, dapat potongan ongkir 15k. Males lah....",Diberi rating 1 bintang dari 5 bintang
Faldiansyah Samal,5-Nov-23,mulai ribet soal pilihan expedisi nya ongkir nya juga lebih mahal hampir 600ribu . mana pengirimannya pakai jasa shopeexpres yg lama sekali baru nyampe dan pelayanan kuril khusus untuk daerah maluku (ambon) sangat buruk sekali .,Diberi rating 1 bintang dari 5 bintang
Satrio Hari,12-Nov-23,Aplikasiya RUWET. masa kita mw lihat barang yang mw beli tiba-tiba eror ngebug gitu/keluar sendiri. Tapi sama adminya d'bales suruh apdate tapi masih sama aja. Benerin yang bagus aplikasinya banyak orang pada komplain tapi masih tetap aja gag ada perubahan.,Diberi rating 1 bintang dari 5 bintang
Rizky Mahardika,22-Nov-23,"KECEWA sekarang setiap akun Shopee dibatasi gratis ongkir instan cuman 2 voucher, dan minimal belanja beberapa toko yg dulu 80rb sekarang 120rb. Itupun potongan gratis ongkir cuma 10rb biasanya 20rb. Voucher gratis ongkir pembayaran instan dibatasi 2 voucher gak masuk akal buat saya yang setiap hari belanja terus dari Senin sampai Minggu. Sangat kecewa!!!!!",Diberi rating 1 bintang dari 5 bintang
Irwan Rusmawan,23-Nov-23,"Kecewa .. Pengajuan splater saya ditolak karena , ktp saya sudah digunakan oleh orang lain, padahal itu yg pakai saya juga cmn nomornya yang Tri3 ,dan saya ganti pakai nomor yang AS, tapi malah splater saya di bekukan , saya sudah coba tanya CS tapi gk respon lelet, coba pakai email, sampe sekarang zonk., dan utk gratis ongkir nya juga kebanyakan bohong nya. Aplikasi ini",Diberi rating 1 bintang dari 5 bintang
ヤト,21-Nov-23,"sekarang kok jadi lemot banget sih padahal aplikasi lain lancar, ayo lah shoppe kasih pelayanan yg terbaik buat customer, padahal aplikasi online shop teratas kok servernya gini sih, mesti kendala di homepage aplikasi lemotnya minta ampun,dari dulu gak difix",Diberi rating 1 bintang dari 5 bintang
Tiara Ara,18-Nov-23,Udah gak abis pikir deh sama shopee aku kan cari produk gitu eh jaringan lancar malah gak muncul produknya kadang gw mikir apa jaringannya yg eror dan pas gw cek ternyata enggak akhirnya gw ulang lagi itu berlangsung sampe 5 kali lebih dan tetep gak bisa lama lama gw apus juga nih aplikasi udah ongkirnya mahal banget lagi giliran ada yang murah gak bisa cod tau ah aplikasi gak jelas untung gw sabar jadi coba gw update kali aja karna belum di update akhirnya gw update dan ini lagi nunggu proses,Diberi rating 1 bintang dari 5 bintang
Andri Purnama,13-Nov-23,Spaylater di kunci udah hampir satu tahun sy cuma di suruh transaksi tunai doang..hanya di suruh nunggu biar di aktifkan lagi tapi sampai saat ini masih tidak ada perubahan..sy uninstall apk ini dan tidak mau lagi menggunakan..karna sy sangat kecewa.,Diberi rating 1 bintang dari 5 bintang
Taofan Putra njmx,23-Nov-23,Maaf nie .... Saya pengguna shpee lama ... Kenapa setiap upde semakin berat menjalan kan aplikasi nya ... Klo menurt saya soal jaringan ga maslah ... Cuman pas PEMUATAN/PEMBUKAAN aplikasi terasa berat padahal jaringan bagus ... Memori penyimpanan tidak full alias longgar .... Keluhan saya tentang shope ... Mohon di peringkas lagi biar ga terllu berat ... Login jga susah ....,Diberi rating 1 bintang dari 5 bintang
